Date,Handysize,BSI_t-1,BHI_t-1,BCI_t-1,BPI_t-1,Australian thermal coal,Soybeans,Wheat,WTI crude Oil,IMF_base metal index,Corn,CN_metal production,Breakbulk(capesize)_SeasonIndex,Rock Phosphate,Iron Ore,PPI_CN,PPI_US
2011/2/1,29488365,1366.5,767.5,1588,1811,134.6244643,566.05,348.12,89.37,234.6877,292.9,5431,0.903421388,140,187.18,107.23,116.2
2011/3/1,32436994,1163,661,1341,1745.5,135.9712733,552.75,316.75,102.92,221.3915,290.54,5942,0.903421388,145,169.36,107.31,118.3
2011/4/1,32753938,1539,748,1744,2078,131.5255952,556.58,336.12,110.04,226.9493,319.27,5903,0.903421388,145,179.33,106.82,120
2011/5/1,33089991,1418,789.5,1568,1531,127.9628571,556.8,355.28,101.25,218.5678,307.86,6025,1.011682497,147,177.05,106.79,121
2011/6/1,33177120,1399,787.5,1565,1739,128.362013,556.22,326.43,96.25,214.1875,310.61,5993,1.011682497,155,170.88,107.12,121
2011/7/1,34141134,1323.5,737,1859.5,1816,128.9892857,556.5,303.88,97.19,219.011,300.77,5930,1.011682497,161.88,172.98,107.54,121.5
2011/8/1,32958032,1270,697,1918,1578,127.462013,552.96,327.07,86.32,213.2956,310.22,5875,1.055499154,182.5,177.5,107.25,120.9
2011/9/1,33379291,1282,657,1951,1568,130.5618506,531.95,315.92,85.62,206.2663,295.26,5670,1.055499154,182.5,177.23,106.52,121.2
2011/10/1,34635061,1442,682,3160.5,1675.5,127.9127551,491.42,289.01,86.41,182.7927,274.79,5467.3,1.055499154,188.75,150.43,105,119.9
2011/11/1,43882911,1568,810,3474,1976,122.7452922,478.35,281.01,97.07,175.1795,274.39,4988.3,1.035432996,195,135.54,102.72,120
2011/12/1,46403244,1379,662.5,3083,1800,118.1764286,483.03,269.03,98.61,174.8944,258.65,5216,1.035432996,195,136.39,101.69,119.4
2012/1/1,43445627,1194.5,597,3407.5,1697,123.0857143,503.18,274.89,100.15,183.2152,272.84,5673.3,1.035432996,195,140.26,100.73,120.1
2012/2/1,40705544,927,518,1631,1161,124.9668367,522.96,277.77,102.26,187.2739,279.46,5588.3,0.903421388,190,140.4,100.03,120.6
2012/3/1,44885805,641,382,1460,849,114.150974,547.46,283.88,106.15,187.7011,280.69,6158,0.903421388,160,144.66,99.68,121.7
2012/4/1,43371238,944,503.5,1470.5,964,110.3537594,583.83,266.32,103.28,186.1755,274,6057.5,0.903421388,185,147.64,99.3,121.8
2012/5/1,43639332,974,556,1521,1189,103.8194805,577.48,264.36,94.51,176.1512,269.28,6123,1.011682497,195,136.61,98.6,121.2
2012/6/1,44487979,1108.5,631,1589,1271.5,92.75469925,578.01,276.19,82.36,169.9804,267.31,6021,1.011682497,193.13,134.66,97.92,120.4
2012/7/1,48046522,1061,669,1184,984,91.36412338,670.19,345.69,87.89,166.359,333.05,6169,1.011682497,188.5,127.94,97.13,120.5
2012/8/1,45970888,1262.5,683.5,1288,1131.5,93.45633117,684.02,349.4,94.11,154.2096,331.99,5870.3,1.055499154,182.5,107.5,96.52,121.8
2012/9/1,42153742,857.5,504,1169,821,93.18160714,677.32,353.42,94.61,156.9248,320.85,5795,1.055499154,182.5,99.47,96.45,122.8
2012/10/1,43166218,841,475.5,1211.5,492.5,86.88540373,625.76,358.2,89.52,162.6334,321.24,5909.6,1.055499154,182.5,113.95,97.24,122.4
2012/11/1,43169368,754,444,2103,804,87.21964286,584.59,360.82,86.69,162.6919,321.64,5747.1,1.035432996,182.5,120.35,97.8,121
2012/12/1,44294687,671,416,2285.5,866,96.07612782,591.29,347.96,88.19,171.8547,308.65,5766,1.035432996,182.5,128.5111111,98.06,120.7
2013/1/1,43103927,747,446,1443,882.5,96.95211039,595.3,335.47,94.65,183.4136,303.13,6362.2,1.035432996,182.5,150.4909091,98.36,121.2
2013/2/1,38852250,736,456,1449.5,720.5,100.3473214,610.73,318.94,95.3,185.8055,302.74,6183,0.903421388,182.5,154.6388889,98.37,122.6
2013/3/1,45031714,680,417.5,1431.5,820,97.31678571,584.7,309.75,93.12,172.5596,309.04,6630,0.903421388,160,139.87,98.08,122.2
2013/4/1,41717537,919,500,1279.5,1154.5,93.23316327,563.88,308.28,92.02,166.7664,279.91,6565,0.903421388,111.5,137.3909091,97.38,122.1
2013/5/1,43867974,902,537,1236,1121,93.12602041,498.01,319.67,94.72,159.2367,295.54,6703.4,1.011682497,157.5,124.0095238,97.13,122.3
2013/6/1,43494300,859,551,1339,951,89.64267857,524.66,313.42,95.79,152.2117,298.41,6466,1.011682497,125.63,114.815,97.3,122.4
2013/7/1,43695483,900,536,1562.5,868.5,82.22236025,511.3,304.61,104.55,155.918,279.51,6547,1.011682497,115,127.1913043,97.73,122.7
2013/8/1,45691432,912,559,1987,1090,82.22142857,511.71,305.34,106.55,163.359,238.74,6628,1.055499154,115,137.055,98.38,122.8
2013/9/1,45069304,913,525,2099,926,83.29591837,560.18,307.51,106.31,160.8629,207.41,6542,1.055499154,97.5,134.1857143,98.66,122.8
2013/10/1,44537027,954,547,3480,1321,85.44363354,540.85,325.69,100.5,161.1211,201.73,6508,1.055499154,84.38,132.5727273,98.49,122.1
2013/11/1,45224036,1199,634,3455,1989,88.36326531,551.32,306.75,93.81,161.394,199.13,6088,1.035432996,87.5,136.3238095,98.58,121.4
2013/12/1,48675645,1354,703,2455,1510,89.44446429,564.03,291.56,97.9,162.3849,197.39,6235,1.035432996,96.88,135.7904762,98.64,122.3
2014/1/1,43258690,1531,803,3843,1923,87.97353896,565.5,275.58,95,159.4278,198.06,6872.75,1.035432996,97.5,128.119,98.36,123.6
2014/2/1,41591994,1170,720.5,1904.5,1567,83.02767857,490.73,292.11,100.7,155.1647,209.32,6207.65,0.903421388,97.5,121.37,97.98,124.4
2014/3/1,43500493,1012,676,1618,1304.5,79.75306122,530.81,323.71,100.57,147.9823,222.33,7025,0.903421388,106.6,111.833,97.7,124.7
2014/4/1,42842936,1159,667,2761,1088,78.52071429,516.18,324.81,102.18,152.9475,222.36,6884,0.903421388,111.5,114.581,98,125.2
2014/5/1,44983000,921.5,546,1744.5,825,78.83464286,519.42,334.73,102,148.8334,217.3,7043,1.011682497,112.63,100.56,98.55,124.7
2014/6/1,44962820,900,487.5,1488.5,936.5,77.34846939,511.14,306.44,105.24,145.3523,202.39,6929,1.011682497,111.4,92.743,98.89,124.9
2014/7/1,45443067,740,450,1792,542,74.03804348,471.74,280.35,102.99,149.6689,182.73,6832,1.011682497,111,96.05,99.13,125.1
2014/8/1,46437161,679,377,1289,619,74.24839286,458.57,263.45,96.38,148.7196,176.42,6891,1.055499154,111,92.614,98.8,124.9
2014/9/1,46245332,869,379,2016.5,771,71.52564935,430.17,243.61,93.35,141.5331,163.06,6754,1.055499154,111.38,82.37954545,98.2,124.5
2014/10/1,47016726,1028,481.5,2453,851.5,68.98462733,425.81,245.45,84.4,134.9895,163.12,6752,1.055499154,116,81.06,97.76,123.1
2014/11/1,46502517,933,503,1758,940,67.33071429,449.9,258.68,75.7,132.7802,178.74,6330,1.035432996,119.5,73.73,97.31,121.7
2014/12/1,48044387,888,456,3116.5,1105.5,67.1622449,448.32,269.7,59.1,125.8763,178.73,6809,1.035432996,119.5,68.39,96.68,119.8
2015/1/1,47065646,951.5,495,821,1013.5,64.71632653,433.21,248.39,47.6,120.2676,174.71,6858.36,1.035432996,119.5,68.23,95.68,117.6
2015/2/1,43531300,716,418,620,759,70.65910714,423.55,237,50.72,115.8086,173.7,6194.64,0.903421388,121.25,62.75,95.2,117.4
2015/3/1,49219977,501,285,622,502,68.34496753,409.79,230.75,47.78,113.2302,174.23,6948,0.903421388,123,58.05,95.44,118.3
2015/4/1,48608191,613.5,372.5,455.5,593,61.19785714,394.73,223.4,54.2,111.0729,172.05,6891,0.903421388,114.13,52.28,95.43,117.4
2015/5/1,48482860,620.5,359,526.5,639,65.6712406,388.2,215.32,59.26,117.0163,166.29,6995,1.011682497,110.5,60.3,95.39,118.7
2015/6/1,48014849,624,327,816,579,63.10470779,391.48,209.81,59.8,111.9651,166.72,6895,1.011682497,118.9,62.63,95.19,119.5
2015/7/1,48408863,690,343,884.5,757,64.48322981,405.87,197.31,51.16,102.1172,179.6,6584,1.011682497,121,52.39,94.63,119.4
2015/8/1,47534288,823,417,1611,1076,63.39321429,378.78,179.68,42.86,100.6921,162.59,6694,1.055499154,121,56.19,94.08,118.5
2015/9/1,47669434,906.5,449,1879.5,1045,61.76542208,367.49,172.7,45.48,100.7819,165.62,6612,1.055499154,124,56.95,94.06,116.9
2015/10/1,46860207,786,442,1275,752,57.33068182,375.95,172.71,46.2,98.0744,171.39,6612,1.055499154,123.5,53.12,94.1,116.1
2015/11/1,46597738,659.5,377,1472,701,55.77806122,368,177.1,42.65,90.214,166.16,6332,1.035432996,123.5,46.86,94.1,115.3
2015/12/1,47249955,516,302,898,500,55.86581633,368.42,189.23,37.24,86.0137,163.95,6437,1.035432996,123.5,40.5,94.1,114.1
2016/1/1,44595886,450,280.5,750.5,426,53.42892857,373.08,193.27,31.7,85.2591,161.03,6255.28,1.035432996,122.6,41.88,94.7,113.5
2016/2/1,39580711,391,244,238.5,378,53.78163265,373.75,187.03,30.35,89.3216,159.68,5851.72,0.903421388,114.5,46.83,95.1,112.8
2016/3/1,42877827,271,197,207,334,55.43520408,380.97,191.07,37.77,96.9202,159.14,7065,0.903421388,114.5,56.2,95.68,113.1
2016/4/1,40355896,432,255,179,463,54.65867347,395.14,187.39,40.96,99.0668,164.41,6942,0.903421388,114.13,60.92,96.62,113.8
2016/5/1,41253185,527,324.5,976.5,692.5,54.52714286,422.55,171.96,46.85,95.8293,168.96,7050,1.011682497,110.5,55.13,97.2,114.7
2016/6/1,43031821,567.5,347,854,597.5,56.22857143,457.4,173.06,48.75,95.014,179.87,6947,1.011682497,110.5,51.98,97.4,116.1
2016/7/1,42706139,570,329,922,548,64.41836735,431.08,151.75,44.89,100.441,161.76,6681,1.011682497,110.5,57.26,98.3,116.2
2016/8/1,44041929,679,363,991,799,71.32694805,412.17,149.18,44.75,102.2409,150.15,6857.2,1.055499154,109.75,60.89,99.2,115.9
2016/9/1,42205825,664.5,402,850,687,76.37386364,403.53,150.65,45.17,100.0072,148.43,6817,1.055499154,109,57.79,100.1,116.1
